year,severity,vv_db_anom_mean,vv_db_anom_std,vh_db_anom_mean,vh_db_anom_std,rvi_anom_mean,rvi_anom_std
2017,1,0.1713468969234142,0.6981177502745657,0.26590020236338974,0.6618274555524596,0.010540310732282,0.14017498630650782
2017,1,0.2216192343110193,0.6910993112959043,0.30654956675928635,0.6571605510626328,0.00973993721465752,0.14153183348108214
2017,1,0.26205068068070847,0.7202652784254615,0.28989767594770954,0.7269342230881186,0.0008512976494702426,0.14190906034675999
2017,1,0.23201944383900028,0.700121068391412,0.31221189372336045,0.6787725497500997,0.008926322129210865,0.1427834760197378
2017,1,-0.5039033536557798,0.7113375222715382,-0.634253184000651,0.41117453045571783,-0.025422332463441073,0.10029747437318622
2017,1,0.4296179877387153,0.6606853131950594,0.2639314156991464,0.4318097010000275,-0.03139002014089514,0.11548609239940608
2017,1,0.10743689370322061,0.7704133470414095,0.21740836030119784,0.7069741542888494,0.013499607573022376,0.1491916794237332
2017,1,-2.270554542541504,0.0,0.1975841522216797,0.0,0.41030335426330566,0.0
2017,1,0.2614870461683303,0.6910837149086826,0.3776178642376282,0.6638965990379689,0.014227121823791721,0.14237357928117625
2017,1,-0.5126628875732422,0.0,-0.09056854248046875,0.0,0.04304337501525879,0.0
2017,1,0.6858334541320801,0.23022890090942383,-0.0944828987121582,0.24885892868041992,-0.15023678541183472,0.006701052188873291
2017,1,-0.3644108295440674,0.9610771911653752,-0.20309791564941407,0.809379470569966,0.029612737894058227,0.25404672637381415
2017,1,0.03892593383789063,0.6068990424221222,0.9936540603637696,0.41882138595576923,0.16595910787582396,0.12652779594713123
2017,1,0.11114387358388593,0.7294493753829147,0.11694791240076866,0.5626294415286296,-0.0019557644282617876,0.1373032137122344
2017,1,-1.1240673065185547,0.0,-0.02993011474609375,0.0,0.1891465187072754,0.0
2017,1,0.10508713482570814,0.9372182021220853,0.3992814141708189,0.8341687878532745,0.039812104540846376,0.14544880033224575
2017,1,0.48476552963256836,1.007068157196045,1.2234382629394531,0.7206211090087891,0.09704703092575073,0.03952866792678833
2017,1,-1.1642255783081055,0.0,-0.39031219482421875,0.0,0.15215528011322021,0.0
2017,1,-0.04327034950256348,0.6363424967909429,-0.319782018661499,0.2893155697914295,-0.05229972302913666,0.09902749072233964
2017,1,-0.35636043548583984,0.0,-0.27706336975097656,0.0,0.013592243194580078,0.0
2017,1,0.06639708455887822,0.7936563799040683,0.29340433359486556,0.742982262152279,0.027973325748434526,0.14532490990639352
2017,1,1.6772146224975586,0.0,-0.3871898651123047,0.0,-0.38136762380599976,0.0
2017,1,-2.200594902038574,0.5388040542602539,-0.4425058364868164,0.007773399353027344,0.33676981925964355,0.10988426208496094
2017,1,-1.9770495096842449,0.255053972993754,-0.6239884694417318,0.169813600826398,0.1923392415046692,0.058233582549227836
2017,1,0.17056687672932944,0.7582985789527994,0.364787921570895,0.6788712643429138,0.02672545115152995,0.1504615707802198
