vv_db_contrast,vv_db_homogeneity,vv_db_energy,vv_db_entropy,vh_db_contrast,vh_db_homogeneity,vh_db_energy,vh_db_entropy,severity,year
0.0,1.0,1.0,-0.0,0.0,1.0,1.0,-0.0,1,2017
0.0,1.0,1.0,-0.0,0.0,1.0,1.0,-0.0,1,2017
0.8352432028561858,0.6957558559741517,0.355167896845204,3.4163527117432424,0.7620192384163568,0.7089256475198712,0.37513500792504184,3.2618770697610624,1,2017
0.9721994759750094,0.6782299647731127,0.3246424489255586,3.730704544809055,0.8304977976085528,0.7000546053962764,0.35124175733384355,3.4900450481489806,1,2017
1.150938688586725,0.6591096989091735,0.3100979894616281,3.87216843289759,0.9614587715493437,0.6740505105034609,0.31186966069682154,3.848896179986281,1,2017
1.0300161636027156,0.6720837280782985,0.3184384473342279,3.8275921230247487,0.8718400061931033,0.6939601467078147,0.3453411698858594,3.5709267728687366,1,2017
6.370707852518998,0.3429745500110644,0.23574074799652311,4.417970006507233,2.968582887700535,0.429801865863148,0.22626991605316618,4.445209022798123,1,2017
1.0575091575091573,0.7054761904761904,0.42947697006739133,2.955212712454725,0.4648046398046398,0.76759768009768,0.4510773936059473,2.4883938660856906,1,2017
1.1213336341690292,0.6497373178375268,0.3015886674196176,3.842847671488115,1.069195901252067,0.6599199555575243,0.32689913989689323,3.6905334007995263,1,2017
1.0521420371328813,0.669457704494232,0.30849328533982967,3.8930013226156626,0.8755459464971365,0.6931465427905841,0.3388959792066225,3.592559064557423,1,2017
2.0951403774219313,0.5815700957348586,0.2622066320383987,4.3281049346553715,1.5083039129155635,0.6257041554485874,0.3060064543179919,3.8869279737061904,1,2017
0.014680330365019818,0.9926598348174901,0.9853745017888564,0.1250765007038596,0.0,1.0,1.0,-0.0,1,2017
2.0665411213705074,0.5836781188834009,0.2503405378644603,4.6272016781738,1.4754433990798805,0.6238297800582042,0.27733337715238887,4.247884636372476,1,2017
0.8790018011062506,0.692517006011738,0.2964704152534915,3.950429303477438,0.8176838786976073,0.7019287230069737,0.30778552169848433,3.835116099362552,1,2017
2.01576344248636,0.5981926496942862,0.2593288898363093,4.607584077812836,1.4086923129308,0.6337378068187082,0.28461658308491733,4.264165994264858,1,2017
14.807323232323231,0.2075922370334135,0.2381734350925257,4.2393648342250625,7.697853535353535,0.2774564357652593,0.25293757978886067,4.093420421297105,1,2017
1.02484813690561,0.6707339746826927,0.28865016492439266,4.001447509796654,0.8404742671231631,0.6972684530793036,0.32055257399803905,3.7297805272152114,1,2017
3.0287229926935813,0.5065993276879147,0.2592930538305478,4.333937502786944,1.742184880945385,0.6192376446670811,0.31185193717781695,3.868780919919151,1,2017
0.015501218561055196,0.9971289017492908,0.9956810412825526,0.05145825607167247,0.0028064092404772797,0.9985967953797614,0.9969477300839907,0.03340818217102958,1,2017
0.9560139887793069,0.6817966437831221,0.3166960020709233,3.7705649175585725,0.8350360608393549,0.6996146272472623,0.34078274477565507,3.5382489899635052,1,2017
1.5903704942212906,0.641709389095767,0.296559166742415,4.065085388540803,1.16568372577626,0.6631451530162747,0.3140886600013156,3.8013132400121576,1,2017
1.379040404040404,0.6810858585858585,0.4630424161762663,2.6711049024794185,1.9689393939393942,0.6598796791443851,0.5002383922603265,2.491719418979581,1,2017
0.956271459224586,0.6818256417694124,0.3502839060073028,3.6151285045210306,0.8124376093937675,0.7079821423755563,0.3709346989152147,3.35494765281281,1,2017
